date,time,model,color,current_price,normal_price,link
2024-11-19,16:29:26,METCON 9,black sesame gum lt brown anthracite,"112,00 €","140,00 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-black-sesame-gum-lt-brown-anthracite-n1242a2nl-q15.html
2024-11-19,16:29:26,METCON 9,lt lemon twist black volt cement grey,"56,00 €","70,00 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-lt-lemon-twist-black-volt-cement-grey-n1242a2nl-e11.html
2024-11-19,16:29:26,CXT2,black,"67,99 €","85,00 €",https://www.zalando.es/tyr-cxt2-zapatillas-de-entrenamiento-black-ty641a003-q13.html
2024-11-19,16:29:26,TRIBASE REIGN 6,black / anthracite / metallic silver,"83,99 €","119,99 €",https://www.zalando.es/under-armour-tribase-reign-6-zapatillas-de-entrenamiento-black-anthracite-metallic-silver-un241a0cw-q11.html
2024-11-19,16:29:26,NANO COURT,white digital lime aqua,"56,00 €","70,00 €",https://www.zalando.es/reebok-low-non-football-nano-court-zapatillas-de-entrenamiento-white-digital-lime-aqua-re544a07p-a11.html
2024-11-19,16:29:26,REIGN LIFTER UNISEX,white/racer red/black,"112,00 €","140,00 €",https://www.zalando.es/under-armour-reign-lifter-unisex-zapatillas-de-entrenamiento-whiteracer-redblack-un244a02f-a11.html
2024-11-19,16:29:26,METCON 9,barely volt/olive aura/cargo khaki/black,"56,90 €","85,00 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-barely-voltolive-auracargo-khakiblack-n1241a19o-e11.html
2024-11-19,16:29:26,LEGEND ESSENTIAL 3,ashen slate/sundial/white/football grey,"56,00 €","70,00 €",https://www.zalando.es/nike-performance-legend-essential-3-zapatillas-de-entrenamiento-ashen-slatesundialwhitefootball-grey-n1242a2gx-c17.html
2024-11-19,16:29:26,METCON 8 UNISEX,volt/diffused blue/wolf grey/photon dust/black,N/A,"139,95 €",https://www.zalando.es/nike-performance-metcon-8-unisex-zapatillas-de-entrenamiento-voltdiffused-bluewolf-greyphoton-dustblack-n1242a2fm-e11.html
2024-11-19,16:29:26,TRIBASE REIGN 6,white/horizon blue/morph green,N/A,"124,95 €",https://www.zalando.es/under-armour-tribase-reign-6-zapatillas-de-entrenamiento-whitehorizon-bluemorph-green-un241a0cw-a11.html
2024-11-19,16:29:26,FUSE 3.0,black/redmazing,N/A,"139,95 €",https://www.zalando.es/puma-fuse-30-zapatillas-de-entrenamiento-blackredmazing-pu142a1r6-q12.html
2024-11-19,16:29:26,NANO,footwear white/black,N/A,"139,95 €",https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-footwear-whiteblack-re541a18k-a14.html
2024-11-19,16:29:26,TRIBASE REIGN 6,white/distant gray/black,N/A,"139,95 €",https://www.zalando.es/under-armour-tribase-reign-6-zapatillas-de-entrenamiento-whitedistant-grayblack-un242a0lb-a11.html
2024-11-19,16:29:26,NANO,black/bolcya/laspin,N/A,"139,95 €",https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-blackbolcyalaspin-re542a17z-q11.html
2024-11-19,16:29:26,NANO,footwear white/pugry2,N/A,"109,95 €",https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-footwear-whitepugry2-re541a18k-a11.html
2024-11-19,16:29:26,NANO GYM,white/unleashed green/kinetic blue,N/A,"109,95 €",https://www.zalando.es/reebok-nano-gym-zapatillas-de-entrenamiento-whiteunleashed-greenkinetic-blue-re542a18l-k11.html
2024-11-19,16:29:26,CXT1 TRAINER UNISEX,white,N/A,"154,95 €",https://www.zalando.es/tyr-cxt1-trainer-unisex-zapatillas-de-entrenamiento-white-ty641a000-a12.html
2024-11-19,16:29:26,FLEXAGON ENERGY,footwear white/grey1/kinetic blue,N/A,"54,95 €",https://www.zalando.es/reebok-flexagon-energy-tr-4-zapatillas-de-entrenamiento-footwear-whitegrey1kinetic-blue-re542a13p-a13.html
2024-11-19,16:29:26,NANOFLEX 2,cloud white core black sport green,N/A,"79,95 €",https://www.zalando.es/reebok-nanoflex-tr-2-zapatillas-de-entrenamiento-cloud-white-core-black-sport-green-re542a157-a11.html
2024-11-19,16:29:26,NFX,ash pugry pugry,N/A,"79,95 €",https://www.zalando.es/reebok-nfx-zapatillas-de-running-estables-ash-pugry-pugry-re542a154-c11.html
2024-11-19,16:29:26,MC 3,football grey/hot fuchsia/armory navy,N/A,"79,95 €",https://www.zalando.es/nike-performance-mc-trainer-3-zapatillas-de-entrenamiento-football-greyhot-fuchsiaarmory-navy-n1241a1ad-q12.html
2024-11-19,16:29:26,NANOFLEX 2,barely grey black digital lime,N/A,"85,00 €",https://www.zalando.es/reebok-nanoflex-zapatillas-de-entrenamiento-barely-grey-black-digital-lime-re542a157-c11.html
2024-11-19,16:29:26,NANO,laspin/black,N/A,"124,95 €",https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-laspinblack-re541a18k-j11.html
2024-11-19,16:29:26,NANOFLEX TR 2,ash/pure grey,N/A,"124,95 €",https://www.zalando.es/reebok-nanoflex-tr-2-zapatillas-de-entrenamiento-ashpure-grey-re542a186-c11.html
2024-11-19,16:29:26,TRIBASE REIGN 6,midnight navy/morph green/white,N/A,"124,95 €",https://www.zalando.es/under-armour-tribase-reign-6-zapatillas-de-entrenamiento-midnight-navymorph-greenwhite-un242a0lb-k12.html
2024-11-19,16:29:26,NANOFLEX 2,acidyellow black vectorred,N/A,"94,95 €",https://www.zalando.es/reebok-nanoflex-tr-zapatillas-de-entrenamiento-acidyellow-black-vectorred-re542a157-e11.html
2024-11-19,16:29:26,ZOOM HYPERSPEED COURT SE UNISEX,white/metallic silver,N/A,"94,95 €",https://www.zalando.es/nike-performance-zoom-hyperspeed-court-se-unisex-zapatillas-de-balonmano-whitemetallic-silver-n1244a0hb-a57.html
2024-11-19,16:29:26,NANO COURT,footwear white/weathered white/unlshd green,N/A,"119,95 €",https://www.zalando.es/reebok-nano-court-zapatillas-de-entrenamiento-footwear-whiteweathered-whiteunlshd-green-re541a198-a12.html
2024-11-19,16:29:26,METCON 9,smokey mauve/black/platinum violet,N/A,"139,95 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-smokey-mauveblackplatinum-violet-n1241a189-i11.html
2024-11-19,16:29:26,DISPERSE XT 3 UNISEX,black/fire orchid/white,N/A,"139,95 €",https://www.zalando.es/puma-disperse-xt-3-zapatillas-de-entrenamiento-blackfire-orchidwhite-pu142a1kr-q11.html
2024-11-19,16:29:26,METCON 9,white/pure platinum,N/A,"139,95 €",https://www.zalando.es/nike-performance-metcon-9-zapatillas-de-entrenamiento-whitepure-platinumwhitepure-platinum-n1242a2nl-a13.html
2024-11-19,16:29:26,NANOFLEX TR 2,barely grey team teal footwear white,N/A,"85,00 €",https://www.zalando.es/reebok-nanoflex-zapatillas-de-entrenamiento-barely-grey-team-teal-footwear-white-re541a18l-c11.html
2024-11-19,16:29:26,FLEX EXPERIENCE RN 12 PRM,summit white/metallic silver/black/white,N/A,"74,95 €",https://www.zalando.es/nike-performance-flex-experience-rn-12-prm-zapatillas-de-entrenamiento-summit-whitemetallic-silverblackwhite-n1241a1b6-a11.html
2024-11-19,16:29:26,NANO,pugry2/vinblue/footwear white,N/A,"164,95 €",https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-pugry2vinbluefootwear-white-re541a18k-a12.html
2024-11-19,16:29:26,CXT2,grey/mint,N/A,"164,95 €",https://www.zalando.es/tyr-cxt2-zapatillas-de-entrenamiento-greymint-ty641a003-c11.html
2024-11-19,16:29:26,NFX TRAINER,blue/black/footwear white,N/A,"69,95 €",https://www.zalando.es/reebok-nfx-trainer-zapatillas-de-entrenamiento-blueblackfootwear-white-re542a180-k11.html
2024-11-19,16:29:26,NANO,hyper green black vector red,N/A,"79,95 €",https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-hyper-green-black-vector-red-re542a17z-m12.html
2024-11-19,16:29:26,NFX TRAINER,white,N/A,"79,95 €",https://www.zalando.es/reebok-nfx-trainer-zapatillas-de-entrenamiento-white-re542a180-a11.html
2024-11-19,16:29:26,PWRFRAME TR,white/fizzy apple,N/A,"79,95 €",https://www.zalando.es/puma-pwrframe-tr-zapatillas-de-entrenamiento-whitefizzy-apple-pu141a0pg-a11.html
2024-11-19,16:29:26,MC 3,cement grey/light lemon twist/black/white,N/A,"79,95 €",https://www.zalando.es/nike-performance-mc-trainer-3-zapatillas-de-entrenamiento-cement-greylight-lemon-twistblackwhite-n1242a2r7-q12.html
2024-11-19,16:29:26,AIR ZOOM TR 1,court blue/green strike/black/platinum tint,N/A,"64,95 €",https://www.zalando.es/nike-performance-air-zoom-1-zapatillas-de-entrenamiento-court-bluegreen-strikeblackplatinum-tint-n1242a2n3-k11.html
2024-11-19,16:29:26,FLEXAGON FORCE 4,black,N/A,"64,95 €",https://www.zalando.es/reebok-flexagon-force-4-zapatillas-de-entrenamiento-black-re542a153-q11.html
2024-11-19,16:29:26,NFX TRAINER TRAINING SHOES,cold grey 3 core black cold grey 6,N/A,N/A,https://www.zalando.es/reebok-nfx-trainer-zapatillas-de-entrenamiento-cold-grey-3-core-black-cold-grey-6-re542a13j-c12.html
2024-11-19,16:29:26,NANO,dynamic red black pure grey,N/A,N/A,https://www.zalando.es/reebok-nano-x4-zapatillas-de-entrenamiento-dynamic-red-black-pure-grey-re542a17z-g11.html
2024-11-19,16:29:26,PWRFRAME TR,black/castlerock/lime squeeze,N/A,N/A,https://www.zalando.es/puma-pwrframe-zapatillas-de-entrenamiento-blackcastlerocklime-squeeze-pu142a19x-q13.html
2024-11-19,16:29:26,NFX,black/cold grey,N/A,N/A,https://www.zalando.es/reebok-nfx-trainer-zapatillas-de-entrenamiento-blackcold-grey-re542a154-q11.html
